1745356180.902055740 0.042078495  450618 
1745356180.902059555 0.041836262  450619 
1745356180.902061939 0.041501284  450620 
1745356180.902643919 0.041702509  450621 
1745356180.902646303 0.041531324  450622 
1745356180.902647734 0.041361809  450623 
1745356180.903569221 0.042111158  450624 
1745356180.903572083 0.041940212  450625 
1745356180.903573036 0.041793585  450626 
1745356180.903573990 0.041624069  450627 
1745356180.903575182 0.041456461  450628 
1745356180.904170752 0.041900635  450629 
1745356180.904172897 0.041731834  450630 
1745356180.904173851 0.041560411  450631 
1745356180.904175043 0.041387796  450632 
1745356180.904652119 0.041714907  450633 
1745356180.904654741 0.041548014  450634 
1745356180.904655457 0.041198492  450635 
1745356180.904656649 0.041004419  450636 
1745356180.905690193 0.041867971  450637 
1745356180.905693293 0.041718006  450638 
1745356180.905695438 0.041569710  450639 
1745356180.905696392 0.041401386  450640 
1745356180.905697823 0.041233301  450641 
1745356180.906495571 0.041862011  450642 
1745356180.906525373 0.041741371  450643 
1745356180.906527758 0.041572571  450644 
1745356180.906528711 0.041425943  450645 
1745356180.906530380 0.041280508  450646 
1745356180.907510757 0.042112827  450647 
1745356180.907513142 0.041944027  450648 
1745356180.907513857 0.041773319  450649 
1745356180.907514572 0.041579723  450650 
1745356180.907516003 0.041405201  450651 
1745356180.908282757 0.042003155  450652 
1745356180.908287048 0.041838884  450653 
1745356180.908289433 0.041690588  450654 
1745356180.908291340 0.041521311  450655 
1745356180.909020662 0.042102098  450656 
1745356180.909023762 0.041951895  450657 
1745356180.909024715 0.041787624  450658 
1745356180.909025669 0.041533470  450659 
1745356180.909026623 0.041360855  450660 
1745356180.909027338 0.041201353  450661 
1745356180.909028292 0.041023970  450662 
1745356180.909029722 0.040872097  450663 
1745356180.909625292 0.041318417  450664 
1745356180.909628868 0.041171551  450665 
1745356180.909629822 0.041019917  450666 
1745356180.909631491 0.040840387  450667 
1745356180.910278320 0.041334629  450668 
1745356180.910281181 0.041187048  450669 
1745356180.910282612 0.040989161  450670 
1745356180.910284758 0.040839434  450671 
1745356180.910960674 0.041347980  450672 
1745356180.910963058 0.041198730  450673 
1745356180.910964489 0.041049957  450674 
1745356180.911518335 0.041429043  450675 
1745356180.911520720 0.041281223  450676 
1745356180.911521673 0.041112661  450677 
1745356180.911523342 0.040962696  450678 
1745356180.912232399 0.041521549  450679 
1745356180.912234783 0.041373968  450680 
1745356180.912235260 0.041202068  450681 
1745356180.912236214 0.040964127  450682 
1745356180.914351702 0.042838812  450683 
1745356180.914352655 0.042686462  450684 
1745356180.914353132 0.042537212  450685 
1745356180.914353609 0.042342424  450686 
1745356180.914354086 0.042193174  450687 
1745356180.914355278 0.042044640  450688 
1745356180.914355993 0.041872978  450689 
1745356180.914356709 0.041724443  450690 
1745356180.914357185 0.041555405  450691 
1745356180.914357901 0.041406393  450692 
1745356180.914358377 0.041256905  450693 
1745356180.914358616 0.041084051  450694 
1745356180.914359331 0.040934324  450695 
1745356180.914989948 0.041394234  450696 
1745356180.915624857 0.041878223  450697 
1745356180.915625572 0.041729212  450698 
1745356180.915626526 0.041558266  450699 
1745356180.915627003 0.041407585  450700 
1745356180.915627480 0.041236162  450701 
1745356180.915628433 0.041087389  450702 
1745356180.915628910 0.040937424  450703 
1745356180.916426182 0.041561365  450704 
1745356180.916427374 0.041413069  450705 
1745356180.916427851 0.041177988  450706 
1745356180.916428566 0.040943146  450707 
1745356180.917579651 0.041898489  450708 
1745356180.917580605 0.041748524  450709 
1745356180.917581081 0.041393280  450710 
1745356180.917581558 0.041222095  450711 
1745356180.917582273 0.041068077  450712 
1745356180.919405222 0.042505980  450713 
1745356180.919406414 0.042350769  450714 
1745356180.919406652 0.042198896  450715 
1745356180.919407129 0.042027712  450716 
1745356180.919407606 0.041876793  450717 
1745356180.919408083 0.041726589  450718 
1745356180.919408798 0.041557312  450719 
1745356180.919409037 0.041407824  450720 
1745356180.919409513 0.041258812  450721 
1745356180.919409990 0.041083574  450722 
1745356180.919410706 0.040922403  450723 
1745356180.920357943 0.041696310  450724 
1745356180.920358896 0.041544437  450725 
1745356180.920359850 0.041392565  450726 
1745356180.920360565 0.041153193  450727 
1745356180.920361042 0.041001558  450728 
1745356180.921412706 0.041795015  450729 
1745356180.921413660 0.041644812  450730 
1745356180.921414137 0.041474104  450731 
1745356180.921414614 0.041313171  450732 
1745356180.921415091 0.041161060  450733 
1745356180.921415329 0.040989876  450734 
1745356180.921416283 0.040840864  450735 
1745356180.921666622 0.040939569  450736 
1745356180.926234484 0.045359373  450737 
1745356180.926238060 0.045215368  450738 
1745356180.926238775 0.045041800  450739 
1745356180.926239729 0.044892311  450740 
1745356180.926240444 0.044722319  450741 
1745356180.927835226 0.046166897  450742 
1745356180.928086519 0.046267986  450743 
1745356180.928087950 0.046098471  450744 
1745356180.928088427 0.045947552  450745 
1745356180.928088903 0.045776844  450746 
1745356180.928089380 0.045522213  450747 
1745356180.928089857 0.045332670  450748 
1745356180.928090334 0.045179844  450749 
1745356180.928091288 0.045028448  450750 
1745356180.928091764 0.044869661  450751 
1745356180.928092480 0.044621944  450752 
1745356180.928093195 0.044438124  450753 
1745356180.928093672 0.044282436  450754 
1745356180.928094149 0.044127941  450755 
1745356180.928095341 0.043944597  450756 
1745356180.928096533 0.043791533  450757 
1745356180.928097010 0.043638468  450758 
1745356180.928097486 0.043445110  450759 
1745356180.928098917 0.043288708  450760 
1745356180.928099394 0.043114901  450761 
1745356180.928099871 0.042962074  450762 
1745356180.928100348 0.042808771  450763 
1745356180.928100824 0.042633295  450764 
1745356180.928101301 0.042477846  450765 
1745356180.928102016 0.042307854  450766 
1745356180.928102493 0.042131424  450767 
1745356180.928102970 0.041960001  450768 
